,Model,f1_mean_test,f1_mean_train,f1_sd_test,f1_sd_train,qwk_mean_test,qwk_mean_train,qwk_sd_test,qwk_sd_train,balanced_acc_mean_test,balanced_acc_mean_train,balanced_acc_sd_test,balanced_acc_sd_train,mcc_mean_test,mcc_mean_train,mcc_sd_test,mcc_sd_train
0,Random Forest optimized,0.3346712176291856,0.6223677318355245,0.0027523975873993806,0.011476442514378408,0.41728014610265063,0.6586526363597247,0.007279972884147533,0.0028323702911812808,0.3486978375012761,0.5973256566469718,0.0020359099587588,0.009063427648989089,0.25452369879731496,0.5746867886485801,0.004620937847425031,0.007271611612027791
1,LightGBM optimized,0.3431285723577543,0.597503825822072,0.006218395764760745,0.012881761318187978,0.42338340935311647,0.6509658637544435,0.00998893057512175,0.0038595721580752316,0.3490903220574172,0.5765442368986811,0.004708326740181726,0.011958623580764237,0.24287662979236888,0.5181571053664645,0.008882210509576494,0.004214292768297057
2,CatBoost optimized,0.3467052182482676,0.5616195314986623,0.004901797530608671,0.02599431468570109,0.4433665335151252,0.752375664144535,0.02273733523331845,0.0077032791229552445,0.3580339736343424,0.5565311115749682,0.004571165394156015,0.017985793588800526,0.27047399355499946,0.5723333657047995,0.00948127237360702,0.01711597900103103
3,XGBoost optimized,0.33934634694687915,0.6329934386039724,0.0052703126123075485,0.0114762072148383,0.4201418518609101,0.6757564004938812,0.017491619760761405,0.006225408577763908,0.34867053348704813,0.6071242707725965,0.005849410889275885,0.009452433871186846,0.25095070756330773,0.568096536894666,0.010477947831183127,0.006298005346865855
4,Gradient Boosting optimized,0.3207464073579819,0.41849499741488766,0.005310796093528794,0.010934817503460462,0.4175210314352783,0.54463247298519,0.013355847166755608,0.006749980541827852,0.335749095467709,0.4196691015490835,0.005092468761871806,0.007998083264825118,0.23810726293271087,0.3566403785004234,0.0076260813098230264,0.006740145839642299
5,"Voting classifier Soft (weights = [1, 2, 5, 2, 1])",0.34564640593051416,0.6060179656139502,0.0017456230131782965,0.013551341454526926,0.44350701758851735,0.7260565639513212,0.020101575757996273,0.0056412766022163096,0.35768589193179284,0.5863845880480862,0.0017863011549811997,0.010142245608160372,0.27053050082787855,0.5815982464675828,0.0031287220961553745,0.010866317551379795
6,Stacking Classifier with Logistic Regression (GridSearch C=0.1),0.3394909726475552,0.5301761373555363,0.004627581688450257,0.008916887687166445,0.4484448448437517,0.7570451181209551,0.017094673939457242,0.009664548946100433,0.3512796936277595,0.5380400249770255,0.00453006298776255,0.009021235668310887,0.2624394056629804,0.5656012476440235,0.008750837139570982,0.012149293607522314
