,Model,balancing_technique,f1_mean_test,f1_mean_train,f1_sd_test,f1_sd_train,qwk_mean_test,qwk_mean_train,qwk_sd_test,qwk_sd_train,balanced_acc_mean_test,balanced_acc_mean_train,balanced_acc_sd_test,balanced_acc_sd_train,mcc_mean_test,mcc_mean_train,mcc_sd_test,mcc_sd_train
72,Random Forest,SMOTEENN (combination),0.16400014648910838,0.21750496976189262,0.010185553305493285,0.014168902075359147,0.1055749751435691,0.17782752873736735,0.011372009792917226,0.022245556673333496,0.2723680360340286,0.346009216549255,0.0066910425544505926,0.016084561431452517,0.09922901490399125,0.1688502906238664,0.00852298574150835,0.006557048739451789
73,AdaBoost,SMOTEENN (combination),0.10626587617009593,0.1379725907321082,0.02309523695091779,0.02281043529870341,0.07087098062588917,0.12158226570641491,0.0063876125447507575,0.021735817331194222,0.2426940877411709,0.2703882851184131,0.011388014639712972,0.011090137886768875,0.09573288356877321,0.14096904100234972,0.0052883308105608475,0.003095885490097031
74,Gradient Boosting,SMOTEENN (combination),0.17018373608993598,0.2229474970284814,0.014614785920584381,0.017827773038933955,0.10253043805151114,0.17131228928168726,0.024959164405264397,0.03027237140981229,0.26809746655086275,0.34421088278076867,0.017172801945657602,0.01956631709891994,0.09806949054424881,0.16605762954183984,0.013277222862206709,0.0072083503099013915
75,Bagging,SMOTEENN (combination),0.16674467848635036,0.21648307905420672,0.008644696260185995,0.014743973920484798,0.1003919114000078,0.16705694156301812,0.014783861746703963,0.012076189640653975,0.26440137912595063,0.343088716763978,0.013105517818101294,0.013064575530405341,0.08540631061379371,0.1505523109824022,0.012627571831664469,0.014421965997309147
76,XGBoost,SMOTEENN (combination),0.21857158269769386,0.2808829053429229,0.007107768115041016,0.018463013234522457,0.1594576973630632,0.2653589611406032,0.019002666599196628,0.03517364962005192,0.30631332161296787,0.415570942071623,0.01365547962246321,0.02300458245922394,0.12728441142591101,0.20955614631951555,0.007905603381899823,0.01343715244321023
77,LightGBM,SMOTEENN (combination),0.21325202957028916,0.2793078685937502,0.0049445595961612404,0.012946746389253014,0.1507252188072939,0.2540772543216757,0.01935007587275461,0.032347424117869845,0.3007271910959258,0.4164318490904904,0.007454954430719357,0.018777360141348513,0.12222724192045095,0.20961768344959592,0.007900711976173891,0.010229179981321319
78,CatBoost,SMOTEENN (combination),0.20249460019857346,0.2686195845881839,0.009172119485101238,0.01684841201611283,0.13889387408618398,0.2440688720934824,0.021423920818746982,0.0327033368173288,0.29839055102379963,0.40577427263330196,0.010614473582132435,0.022612508499442376,0.11283393122443457,0.19832471973142055,0.0082804197300375,0.012819549457517742
79,Random Forest,SMOTETomek (combination),0.33027968851048045,0.5483911400285344,0.008177650940218446,0.016695091024633756,0.358218893069487,0.5790819331638737,0.01719743884143259,0.015754052756791613,0.3547666125452385,0.606666211062131,0.005830295849202011,0.011453853593800477,0.21293782949215972,0.4697978668992967,0.008674378837745057,0.010707853776553918
80,AdaBoost,SMOTETomek (combination),0.28709611906252086,0.3264008976017435,0.010774787957479388,0.009228890691268485,0.3131968663216572,0.40531628925419555,0.04063643291131832,0.03429299439667939,0.3197732223106695,0.377266622287718,0.012200929250739631,0.00949197573793477,0.16407526475260564,0.2174771237103869,0.009955198592228497,0.006460812805268041
81,Gradient Boosting,SMOTETomek (combination),0.31073990729750034,0.39270752281588306,0.004063061404625473,0.015545690296936674,0.34713725179363675,0.47746332991998425,0.013646471968758907,0.018087422975318127,0.3456790601330641,0.45496356433024143,0.00941792183187855,0.006908298478499779,0.2062488296517008,0.30902399425929655,0.007975470852728699,0.010027364309648313
