,Model,balancing_technique,f1_mean,f1_sd,qwk_mean,qwk_sd
56,Random Forest,NearMiss (undersampling),0.1990448965546557,0.00681630215578947,0.05764343184243985,0.00849261787344851
57,AdaBoost,NearMiss (undersampling),0.208325872487428,0.0133635077086428,0.10855066360619407,0.05202862696095991
58,Gradient Boosting,NearMiss (undersampling),0.20977314754137527,0.0027654460236909307,0.08852412143830475,0.005073912595894263
59,Bagging,NearMiss (undersampling),0.20001537604112207,0.006215684355571127,0.06473657402574926,0.02691026124364127
60,XGBoost,NearMiss (undersampling),0.19547887483508958,0.003013385757978461,0.06677996272478141,0.009319558871617135
61,LightGBM,NearMiss (undersampling),0.19284436752217943,0.008097948116478721,0.04294569607316667,0.009703046203791699
62,CatBoost,NearMiss (undersampling),0.20549538318802898,0.008272527426446947,0.09471518480298957,0.015940668701094892
63,Random Forest,TomekLinks (undersampling),0.32638356574214356,0.015628829299504075,0.3511984850555557,0.019235451400044724
64,AdaBoost,TomekLinks (undersampling),0.2711982183519493,0.013041488870154515,0.295287765248215,0.02380625975701609
65,Gradient Boosting,TomekLinks (undersampling),0.3296123119704164,0.013122646334834235,0.379022006758236,0.01723333425760429
66,Bagging,TomekLinks (undersampling),0.32294774855924013,0.008720804913355902,0.33418663791296577,0.020131674929476068
67,XGBoost,TomekLinks (undersampling),0.33793529028421954,0.004265462716857122,0.38005328059334287,0.015137060590375506
68,LightGBM,TomekLinks (undersampling),0.3320187114299901,0.006628530677210952,0.3672017109492539,0.01565270753931631
69,CatBoost,TomekLinks (undersampling),0.31483550056823245,0.004324100878369802,0.38177321443080703,0.01709768414481612
70,Random Forest,SMOTEENN (combination),0.1695957681748008,0.007797108202554693,0.08446193008166,0.019439100994497485
71,AdaBoost,SMOTEENN (combination),0.11670800449581278,0.016511387869125364,0.08622233077766342,0.029324654926232232
72,Gradient Boosting,SMOTEENN (combination),0.18408188894778527,0.007625111464471781,0.09026517314857647,0.02041023475471692
73,Bagging,SMOTEENN (combination),0.18472591251770748,0.009815337212947499,0.09602782647244287,0.0048839378665880805
74,XGBoost,SMOTEENN (combination),0.22452957712921268,0.012071086528296984,0.1739207296015441,0.02661546131591916
75,LightGBM,SMOTEENN (combination),0.2173716955784592,0.01237375637843585,0.1572357087286028,0.024095019782839653
76,CatBoost,SMOTEENN (combination),0.18798845529064453,0.004924341376122083,0.10866395097794015,0.01435599270081965
77,Random Forest,SMOTETomek (combination),0.35188712934482536,0.008832388629812012,0.3669690292216966,0.011802370919821066
78,AdaBoost,SMOTETomek (combination),0.284568576858204,0.007943672529999349,0.26453989296354286,0.020006556601828263
79,Gradient Boosting,SMOTETomek (combination),0.3420595627973887,0.008663873016014042,0.3681764529999022,0.025397099933963337
80,Bagging,SMOTETomek (combination),0.3276434763728201,0.0131720727237909,0.3350119357115311,0.014394772780328522
81,XGBoost,SMOTETomek (combination),0.3460043434837699,0.00598669023842299,0.3909316159003982,0.020957765914395802
82,LightGBM,SMOTETomek (combination),0.33499488545228984,0.010369071352524989,0.3668709929804518,0.02861252489866197
83,CatBoost,SMOTETomek (combination),0.3443901596896226,0.003246418237801325,0.3860565103324414,0.025100593837675114
